,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
199,Diaľnica,D00004,,M9868,2020.0,-1,Neznámy,17.25145,48.12837,2021
200,Diaľnica,R00002,53,M9714,2016.0,-1,Neznámy,18.23926,48.70387,2021
201,Diaľnica,R00002,55,M9711,2016.0,-1,Neznámy,18.25021,48.70032,2021
202,Diaľnica,D00004,,M9838,2019.0,-1,Neznámy,17.22056,48.10831,2021
203,Diaľnica,D00001,296,M9640,2015.0,-1,Neznámy,20.5655,49.0019,2021
204,Diaľnica,D00001,,M6773,1000.0,-1,Neznámy,18.558064554,49.214828697,2021
205,Diaľnica,R00003,obj. 206,M5738,2007.0,-1,Neznámy,19.385208279,49.259306676,2021
206,Diaľnica,D00001,223.1,M9743,2013.0,-1,Neznámy,18.95709,49.10768,2021
207,Diaľnica,D00003,D3-085,M9775,2012.0,-1,Neznámy,18.92678,49.49987,2021
208,Diaľnica,D00001,D1-178,M9588,2010.0,-1,Neznámy,18.44724,49.12476,2021
209,Diaľnica,D00003,24,M3743,2007.0,-1,Neznámy,18.690571307,49.242659656,2021
210,Diaľnica,D00001,D1-178.1,M9595,2010.0,-1,Neznámy,18.44778,49.12361,2021
211,Diaľnica,D00003,22,M2478,2007.0,-1,Neznámy,18.689934634,49.242543308,2021
212,Diaľnica,D00003,D3-081,M9732,2016.0,-1,Neznámy,18.876,49.508,2021
213,Diaľnica,D00001,D1-178.2,M9597,2010.0,-1,Neznámy,18.44871,49.12484,2021
214,Diaľnica,D00001,155,M196,2004.0,-1,Neznámy,18.316490461,49.04872602,2021
215,Diaľnica,D00003,16,M3028,2007.0,-1,Neznámy,18.657370885,49.249941647,2021
216,Diaľnica,D00001,D1-178.6,M9656,2010.0,-1,Neznámy,18.44239,49.12263,2021
217,Diaľnica,D00003,15,M4285,1800.0,-1,Neznámy,18.654730338,49.247451915,2021
218,Cesta I. triedy,18,18-416,M9583,1970.0,-1,Neznámy,20.73292,49.00855,2021
219,Diaľnica,D00003,D3-080,M9773,2016.0,-1,Neznámy,18.88256,49.50548,2021
220,Diaľnica,D00003,D3-086,M9776,2012.0,-1,Neznámy,18.93482,49.5002,2021
221,Diaľnica,D00001,285,M4297,2008.0,-1,Neznámy,20.429834605,49.035839547,2021
222,Diaľnica,D00003,7,M3183,1000.0,-1,Neznámy,18.650999313,49.24554742,2021
